id,match_id,sentence,type,source
30,M15,KKR's batters built steam gradually to post a challenging 200 for 6 before Arora led a new-ball effort that demolished SRH's top three in 13 balls,Summary,ESPNCricinfo
31,M16,Hardik heroics in vain as LSG go 6-1 up vs MI,Headline,ESPNCricinfo
32,M16,"Marsh and Markram set up LSG's total of 203, before Thakur and Avesh executed with the ball under pressure",Summary,ESPNCricinfo
33,M17,KL Rahul shines as DC outclass CSK in Chennai,Headline,ESPNCricinfo
34,M17,"DC, who hadn't tasted victory against CSK at Chepauk in 15 years, were able to utterly dominate them",Summary,ESPNCricinfo
35,M18,Archer leads PBKS demolition job after Jaiswal & Co set the platform for Royals,Headline,ESPNCricinfo
36,M18,"It looked like an ideal game for Royals, first posting a 200-plus total and then almost all their bowlers combining for a comprehensive win",Summary,ESPNCricinfo
37,M19,"Siraj, Gill and Washington hand Sunrisers fourth successive defeat",Headline,ESPNCricinfo
38,M19,It was another batting malfunction from SRH as local boy Siraj ran through them,Summary,ESPNCricinfo
39,M20,"Kohli, Patidar and Krunal star as RCB end ten-year Wankhede jinx",Headline,ESPNCricinfo
40,M20,"Despite scoring 221, the win didn't come easy for RCB with Hardik and Tilak giving them a scare, but Krunal kept his calm",Summary,ESPNCricinfo
41,M21,"Marsh, Pooran outgun KKR in high-scoring thriller",Headline,ESPNCricinfo
42,M21,LSG conceded 90 in the powerplay during the 239 chase before inducing a collapse of 5 for 33 to beat the hosts,Summary,ESPNCricinfo
43,M22,Arya's blazing 103 off 42 balls consigns CSK to fourth successive defeat,Headline,ESPNCricinfo
44,M22,CSK dropped five catches before failing to chase another 180-plus target,Summary,ESPNCricinfo
45,M23,Sai Sudharsan and Prasidh lead GT to the top of the IPL table,Headline,ESPNCricinfo
46,M23,They posted 217 and defended it with aplomb in dew-free conditions in Ahmedabad despite a fighting fifty from Hetmyer,Summary,ESPNCricinfo
47,M24,KL Rahul hands RCB another loss in Bengaluru,Headline,ESPNCricinfo
48,M24,"After being restricted to 163 for 7, RCB's bowlers brought them back in the game, only to be denied by the local lad",Summary,ESPNCricinfo
49,M25,CSK suffer fifth loss on the trot as KKR register monster win,Headline,ESPNCricinfo
50,M25,"Batting first, CSK could manage only 103 for 9, their lowest total at Chepauk",Summary,ESPNCricinfo
51,M26,Markram and Pooran end Gujarat Titans' winning streak,Headline,ESPNCricinfo
52,M26,A target of 181 was too little against the might of the Lucknow Super Giants batting line-up,Summary,ESPNCricinfo
53,M27,Abhishek Sharma's whirlwind 141 leads SRH to second-highest IPL chase,Headline,ESPNCricinfo
54,M27,Travishek finally clicked this season and effortlessly chased down 246 in Hyderabad,Summary,ESPNCricinfo
55,M28,RCB extend winning run away from home as Kohli and Salt sink Royals,Headline,ESPNCricinfo
56,M28,"Yashasvi Jaiswal put on a clinic, smashing 75 of his team's 173, but that total was never going to be enough",Summary,ESPNCricinfo
57,M29,Mumbai Indians clinch thriller to end Delhi Capitals' unbeaten streak,Headline,ESPNCricinfo
58,M29,Karun Nair's comeback knock went in vain as DC imploded to lose by 12 runs,Summary,ESPNCricinfo
59,M30,"Dhoni, Noor and Jadeja snap CSK's losing streak",Headline,ESPNCricinfo
60,M30,Dhoni and Dube came together during a tricky situation to put up a match-winning 57-run stand,Summary,ESPNCricinfo
61,M31,Chahal four-for stuns KKR as PBKS defend 111,Headline,ESPNCricinfo
62,M31,"Chasing 112, KKR went from 62 for 2 to be bowled out for 95",Summary,ESPNCricinfo
63,M32,DC win an IPL classic in Delhi after Super Over drama,Headline,ESPNCricinfo
64,M32,"With nine needed off the final over with six wickets in hand, RR seemed to have the edge, only for Mitchell Starc to turn the script around",Summary,ESPNCricinfo
65,M33,MI's bowling tricks on slow pitch get them second straight win,Headline,ESPNCricinfo
66,M33,"Will Jacks' offspin, pace bowlers' yorkers restricted SRH before the hosts cruised home",Summary,ESPNCricinfo
67,M34,"Chahal, Arshdeep and Wadhera hand RCB third successive defeat at home",Headline,ESPNCricinfo
68,M34,"A bowler-friendly pitch, perhaps because of a little rain before the game, meant 14 wickets fell in 26.1 overs",Summary,ESPNCricinfo
69,M35,Buttler bosses the chase to power GT to No. 1,Headline,ESPNCricinfo
70,M35,"After keeping wicket for 20 overs on a hot afternoon, Buttler scored an unbeaten 97 off 54 balls",Summary,ESPNCricinfo
71,M36,Ice-man Avesh holds his nerve as LSG edge past RR in last-over classic,Headline,ESPNCricinfo
72,M36,"Needing to defend eight off the final over, Avesh nailed yorker after yorker to concede only six runs in the 20th over",Summary,ESPNCricinfo
73,M37,"Kohli, Padikkal fifties fire RCB to fifth away win",Headline,ESPNCricinfo
74,M37,"Kohli stayed unbeaten on 73 to register his 67th fifty-plus score, the most by any batter in IPL history",Summary,ESPNCricinfo
75,M38,"Rohit, Suryakumar fifties seal NRR-boosting win for MI",Headline,ESPNCricinfo
76,M38,MI mowed down 177 with nine wickets and 26 balls to spare,Summary,ESPNCricinfo
77,M39,Gujarat Titans consolidate top spot after Gill-Sai Sudharsan show,Headline,ESPNCricinfo
78,M39,"The GT top three again did the bulk of the scoring, scoring 183 runs among them",Summary,ESPNCricinfo
79,M40,Mukesh four-for sets up comfortable win as DC close the gap up top,Headline,ESPNCricinfo
80,M40,"DC restricted LSG to just 72 runs in last ten overs, before Rahul and Porel's fifties took visitors home",Summary,ESPNCricinfo
81,M41,Red-hot MI go third after Boult and Rohit blow SRH away,Headline,ESPNCricinfo
82,M41,Rohit scored his second straight half-century to give MI their fourth straight win,Summary,ESPNCricinfo
83,M42,Kohli and Hazlewood break RCB's home duck as RR botch another chase,Headline,ESPNCricinfo
84,M42,An unhittable 19th over from Hazlewood yanked a third successive match away from RR's grasp,Summary,ESPNCricinfo
85,M43,"Harshal, Kamindu lead SRH to their first win against CSK in Chennai",Headline,ESPNCricinfo
86,M43,"Brevis, Mhatre's contributions were not enough for CSK to avoid their fourth loss at home this season",Summary,ESPNCricinfo
87,M44,Arya and Prabhsimran sparkle before rain dashes PBKS' hopes,Headline,ESPNCricinfo
88,M44,PBKS moved to No. 4 on the points table while KKR rose to No. 7 with seven points from nine matches,Summary,ESPNCricinfo
89,M45,Suryakumar and Bumrah dazzle in MI's fifth straight win,Headline,ESPNCricinfo
90,M45,Pant lasted only two balls amid a batting collapse from LSG that saw them slide from 110 for 3 to 161 all out,Summary,ESPNCricinfo
91,M46,RCB go No. 1 after Krunal's all-round heroics,Headline,ESPNCricinfo
92,M46,The left-arm spin-bowling allrounder made his second IPL fifty after helping restrict DC to 162 for 8,Summary,ESPNCricinfo
93,M47,"Suryavanshi, 14, shatters records to keep RR alive",Headline,ESPNCricinfo
94,M47,He smashed the second-fastest century in IPL history as RR chased down 210 in 15.5 overs,Summary,ESPNCricinfo
95,M48,Narine's all-round show sets up tense win for KKR,Headline,ESPNCricinfo
96,M48,"Narine and Chakravarthy played a key role in hitting back at DC, who slid from 136 for 3 to 190 for 9",Summary,ESPNCricinfo
97,M49,"Shreyas, Prabhsimran and Chahal eliminate CSK",Headline,ESPNCricinfo
98,M49,Chahal's second IPL hat-trick turned a topsy-turvy game in PBKS' favour,Summary,ESPNCricinfo
99,M50,Clinical Mumbai's sixth straight win gives them top position and knocks out Royals,Headline,ESPNCricinfo
100,M50,MI posted the joint-highest IPL total in Jaipur and never gave the hosts a chance in the chase,Summary,ESPNCricinfo
101,M51,"Gill, Buttler and Sai Sudharsan leave SRH on the brink of elimination",Headline,ESPNCricinfo
102,M51,"Each of SRH's remaining games is a must-win affair, but still no guarantee to take them to playoffs",Summary,ESPNCricinfo
103,M52,Dayal trumps CSK in last over again to take RCB to the top,Headline,ESPNCricinfo
104,M52,"Dayal did it against Dhoni, Jadeja and Dube with a dew-slicked ball on a flat pitch",Summary,ESPNCricinfo
105,M53,KKR survive last-ball thriller to stay alive in top four race,Headline,ESPNCricinfo
106,M53,"An epic contest came down to the final ball, but Shubham Dubey was unable to get the three runs that would've sealed a memorable RR win",Summary,ESPNCricinfo
107,M54,"Prabhsimran 91, Arshdeep's new-ball spell take PBKS towards playoffs",Headline,ESPNCricinfo
108,M54,"Against LSG, PBKS posted their 11th total of 200-plus in IPL, also aided by middle-order cameos",Summary,ESPNCricinfo
109,M55,Rain knocks SRH out and hands DC a reprieve,Headline,ESPNCricinfo
110,M55,SRH captain Pat Cummins struck thrice and that helped restrict DC to just 133,Summary,ESPNCricinfo
111,M56,"Rain, no-ball and a run-out fumble: Titans stun Mumbai to win a classic",Headline,ESPNCricinfo
112,M56,A see-sawing game with no shortage of drama went the way of the visitors at Wankhede stadium,Summary,ESPNCricinfo
113,M57,Brevis cracks counterattacking fifty as KKR's playoffs hopes nosedive,Headline,ESPNCricinfo
114,M57,"Earlier, CSK's win was set up by Noor Ahmad's four-for as he checked KKR after the powerplay",Summary,ESPNCricinfo
115,M58,Rain ends KKR's playoff hopes and extends pause on IPL,Headline,ESPNCricinfo
116,M58,The fans came in huge numbers to Bengaluru but the weather played spoilsport,Summary,ESPNCricinfo
117,M59,Nehal Wadhera and Harpreet Brar take Punjab Kings closer to playoffs,Headline,ESPNCricinfo
118,M59,RR got off to a strong start in chase thanks to Jaiswal and Suryavanshi but eventually fell to a 10-run loss,Summary,ESPNCricinfo
119,M60,Sai Sudharsan and Gill help clinical GT book playoffs berth,Headline,ESPNCricinfo
120,M60,Sai Sudharsan finished on 108 not out off 61 balls and Gill on 93 not out off 53 as they overhauled DC's 199 for 3 with an over to spare,Summary,ESPNCricinfo
121,M61,Abhishek's 18-ball fifty knocks LSG out of playoffs race,Headline,ESPNCricinfo
122,M61,"Marsh and Markram's half-centuries went in vain, as SRH bagged seven LSG wickets in the last ten overs",Summary,ESPNCricinfo
123,M62,Madhwal leads bowlers' show as RR end the season by beating CSK,Headline,ESPNCricinfo
124,M62,"CSK were restricted to 187, before Survyavanshi's fifty, and cameos from Jaiswal and Jurel, wrapped the chase",Summary,ESPNCricinfo
125,M63,"Suryakumar, Santner and Bumrah lead MI into playoffs",Headline,ESPNCricinfo
126,M63,"Delhi Capitals, who began the season with four wins on the trot, are now out of contention",Summary,ESPNCricinfo
127,M64,"Marsh ton, O'Rourke three-for headline LSG's big win against table-toppers",Headline,ESPNCricinfo
128,M64,Shahrukh Khan and Sherfane Rutherford kept GT in the game but they eventually fell well short,Summary,ESPNCricinfo
129,M65,"Kishan, SRH quicks dent RCB's chances of a top-two finish",Headline,ESPNCricinfo
130,M65,RCB lost 7 for 16 in the last 25 balls to go down by 42 runs and see their NRR slip below Punjab Kings',Summary,ESPNCricinfo
131,M66,Rizvi special helps DC sign off with a win,Headline,ESPNCricinfo
132,M66,Punjab Kings saw their hopes for a top-two finish dented,Summary,ESPNCricinfo
133,M67,"Brevis, Mhatre, Urvil help CSK sign off gloomy season on bright note",Headline,ESPNCricinfo
134,M67,"Their dazzling knocks had CSK finishing with 230 for 5, their highest total in IPL 2025. In response, GT folded for 147",Summary,ESPNCricinfo
135,M68,Klaasen's 105* the highlight as SRH finish IPL 2025 in style,Headline,ESPNCricinfo
136,M68,SRH post the third-highest IPL total and handed KKR their biggest defeat in the competition,Summary,ESPNCricinfo
137,M69,Arya and Inglis take PBKS to Qualifier 1 and send MI to the Eliminator,Headline,ESPNCricinfo
138,M69,Josh Inglis and Priyansh Arya shared a 109-run stand for the second wicket to help PBKS chase down 185 with ease,Summary,ESPNCricinfo
139,M70,Jitesh 85* trumps Pant 118* as RCB make Qualifier 1,Headline,ESPNCricinfo
140,M70,"Jitesh added an unbeaten 107 with Agarwal, who scored 41 not out, to complete an unlikely chase",Summary,ESPNCricinfo
141,M71,"Bowlers, Salt shine as RCB march into first IPL final since 2016",Headline,ESPNCricinfo
142,M71,"Hazlewood, Suyash and Dayal shared eight wickets as PBKS folded for 101 in Qualifier 1",Summary,ESPNCricinfo
143,M72,MI eliminate GT to set up Qualifier 2 with PBKS,Headline,ESPNCricinfo
144,M72,"Rohit and Bairstow took MI to the second-highest total in any IPL playoff game, and ensured that GT's target always remained just out of reach",Summary,ESPNCricinfo
145,M73,Sensational Shreyas Iyer powers PBKS to second IPL final,Headline,ESPNCricinfo
146,M73,"For the first time in their history, Mumbai couldn't defend a total in excess of 200",Summary,ESPNCricinfo
147,M74,Kohli and RCB are finally IPL champions,Headline,ESPNCricinfo
148,M74,An 18-year wait for a first trophy ended on Tuesday night thanks to key contributions from Krunal Pandya and Bhuvneshwar Kumar,Summary,ESPNCricinfo
